,review_count,business_id,categories,Unnamed: 0,super_rating,name,latitude,longitude,address,postal_code,positive_aspect,negative_aspect
0,10,bBDDEgkFA1Otx9Lfe7BZUQ,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",1549,2.10382,Sonic Drive-In,36.2081024,-86.7681696,2312 Dickerson Pike,37207.0,"['drive - thru window', 'staff', 'waiting', 'service', 'food']","['food', 'sonic', 'employee', 'cheese', 'location']"
10,6,4iRzR7OaS-QaSXuvYxEGKA,"Hot Dogs, Restaurants",229,4.726166666666667,Super Dog,36.2485696,-86.7199857,1160 Gallatin Pike S,37115.0,"['food', 'hot dog joint', 'hot', 'atmosphere', 'meal']","['food', 'hot dog joint', 'hot', 'atmosphere', 'meal']"
16,161,tMkwHmWFUEXrC9ZduonpTg,"Restaurants, Japanese, Seafood",2217,4.906610559006211,The Green Pheasant,36.1598858,-86.7731974,215 1st Ave S,37201.0,"['food', 'atmosphere', 'service', 'place', 'meal']","['brocollini', 'cake', 'sustenance', 'cocktail full', 'front staff']"
177,159,lk9IwjZXqUMqqOhM774DtQ,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",1937,4.071015432098766,Caviar & Bananas,36.1483712,-86.7988947,2031 Broadway,37203.0,"['place', 'service', 'atmosphere', 'staff', 'decor']","['people working', 'queue', 'prices', 'served', 'layout']"
339,593,oaboaRBUgGjbo2kfUIKDLQ,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",2052,5.134363727121464,Mike's Ice Cream,36.1626492,-86.7759733,129 2nd Ave N,37201.0,"['ice cream', 'flavors', 'place', 'service', 'staff']","['staff member', 'ladies', 'server', 'latte', 'line']"
940,182,X_E7U2lVNEwbH_gpOBmAHQ,"Nightlife, Restaurants, Bars, Mexican",1348,4.899084699453552,Cerveza Jack's,36.162799,-86.776016,135 2nd Ave N,37201.0,"['music', 'food', 'service', 'place', 'live music']","['hostess', 'chicken', 'bill', 'tap', 'bowls']"
1123,37,G4lRmwDHdvhZAhmtlsYYBw,"Burgers, Restaurants, Fast Food",697,1.1825394736842103,Wendy's,36.112075744,-86.7674462724,741 Thompson Ln,37204.0,"['location', 'cake', 'frosty', 'fry', 'chocolate']","['customer service', 'employees', 'food', 'staff', 'service']"
1161,1639,ORL4JE6tz3rJxVqkdKfegA,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",1009,3.5953155089820363,Gaylord Opryland Resort & Convention Center,36.2115923083,-86.6943191727,2800 Opryland Dr,37214.0,"['place', 'hotel', 'staff', 'resort', 'rooms']","['line', 'customer service', 'price', 'prices', 'parking']"
2831,18,1dSKEitDDgIkaApe6UNMSA,"Caribbean, Food, Restaurants, Food Trucks",103,5.8754277777777775,The Pepper Pott,36.1530043,-86.8433279,4611 Alabama Ave,37209.0,"['oxtail', 'sides', 'food', 'chicken', 'lemon']","['curry chicken', 'plantains', 'menu', 'wait', 'meals']"
2849,6,42OM20QndpmsOSY6ccudBA,"Bagels, Restaurants, Caterers, Sandwiches, Event Planning & Services, Delis, Food",200,3.605157142857143,Union Teller Delicatessen,36.1648001,-86.7799287,401 Union St,37219.0,"['service', 'decor', 'vibe', 'meal', 'french toast']","['bagels', 'bagel', 'cream', 'fries', 'pastrami sandwich']"
2856,402,H3JjbID9Zhukpqr9uupHAA,"Burgers, Bars, Restaurants, Nightlife, American (New), Breakfast & Brunch, Lounges",740,3.671410294117648,Jackson's Bar & Bistro - Nashville,36.1366299,-86.8004366,1800 21st Ave S,37212.0,"['food', 'patio', 'drinks', 'atmosphere', 'menu']","['manager', 'toast', 'chicken', 'service', 'waiter']"
3264,245,dD2p903p8lU0IgXT3OFluA,"Breakfast & Brunch, Restaurants, Food, Cafes, Coffee & Tea, American (Traditional), Sandwiches",1631,4.304311450381679,Edgehill Cafe,36.1429685,-86.7923549,1201 Villa Pl,37212.0,"['food', 'coffee', 'staff', 'atmosphere', 'service']","['flavor', 'doors', 'coffee shops', 'chicken', 'manager']"
3526,99,6mCsrUp9Vl4iXMbOxWtVjA,"Restaurants, Indian",316,4.740650980392157,Dosa Hut Indian Grill,36.0810108,-86.7280648,4047 Nolensville Pike,37211.0,"['food', 'dosa', 'dosas', 'indian food', 'lamb curry']","['coconut chutney', 'veg dinner', 'coconut chutney served', 'interior', 'location']"
3628,49,Gki1ureeRKqlIkQ-AELDVg,"Restaurants, Nightlife, Dance Clubs, Falafel, Lounges, Hookah Bars, Bars, Mediterranean",726,4.203756,Brugada,36.163323,-86.7765917,204 Commerce St,37201.0,"['music', 'food', 'hookah', 'atmosphere', 'place']","['waiter', 'wait', 'dj', 'honey mustard wings', 'prescription glasses tint']"
